seed,alpha,dynamic_value,minimax_value,at_minimax_value
8,0.95,26.696987853119637,26.696987853119637,1
8,0.975,26.696987853119637,26.696987853119637,1
8,0.99,26.696987853119637,26.696987853119637,1
9,0.0,12.7665580031939,27.2701828207479,0
9,0.25,24.127902345303177,27.2701828207479,0
9,0.5,27.204888525757227,27.2701828207479,0
9,0.6,27.237320165249045,27.2701828207479,0
9,0.65,27.25035479493161,27.2701828207479,0
9,0.7,27.267734301175025,27.2701828207479,0
9,0.75,27.2701828207479,27.2701828207479,1
9,0.8,27.2701828207479,27.2701828207479,1
9,0.85,27.2701828207479,27.2701828207479,1
9,0.9,27.2701828207479,27.2701828207479,1
9,0.925,27.2701828207479,27.2701828207479,1
9,0.95,27.2701828207479,27.2701828207479,1
9,0.975,27.2701828207479,27.2701828207479,1
9,0.99,27.2701828207479,27.2701828207479,1
