family,instance_id,seed,method,original_objective,original_planning_alpha,common_objective,common_objective_planning_alpha,terminal_evaluation_statistic,terminal_evaluation_alpha,horizon,worlds,root_action,original_objective_value,expected_regret,static_cvar95_regret,worst_regret,common_proposed_nested_dynamic_regret,common_objective_gap_to_proposed,common_objective_optimal,hard_satisfaction_flag,exact_world_enumeration,frozen_raw_row_match
random_hub_m8,hub_seed_08,8,Minimax regret,worst_hindsight_regret,,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,26.6969878531,24.2705018565,26.6969878531,26.6969878531,26.6310200058,0,1,1,1,1
random_hub_m8,hub_seed_08,8,Expected cost / regret,expected_absolute_cost_equiv_expected_regret,0,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,u1,16.9186868771,11.1891887336,31.0060421447,31.0060421447,30.7494140062,4.11839400034,0,1,1,1
random_hub_m8,hub_seed_08,8,Dynamic CVaR cost a=0.5,nested_dynamic_absolute_cost,0.5,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,30,24.2705018565,26.6969878531,26.6969878531,26.6310200058,0,1,1,1,1
random_hub_m8,hub_seed_08,8,Proposed dynamic CVaR regret a=0.5,nested_dynamic_hindsight_regret,0.5,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,26.6310200058,24.2705018565,26.6969878531,26.6969878531,26.6310200058,0,1,1,1,1
random_hub_m8,hub_seed_09,9,Worst absolute cost,worst_absolute_mission_cost,,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,30,24.2655640624,27.2701828207,27.2701828207,27.2048885258,0,1,1,1,1
random_hub_m8,hub_seed_09,9,Minimax regret,worst_hindsight_regret,,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,27.2701828207,24.2655640624,27.2701828207,27.2701828207,27.2048885258,0,1,1,1,1
random_hub_m8,hub_seed_09,9,Expected cost / regret,expected_absolute_cost_equiv_expected_regret,0,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,u1,18.5009939408,12.7665580032,31.5425323806,31.5425323806,31.0211664733,3.81627794754,0,1,1,1
random_hub_m8,hub_seed_09,9,Dynamic CVaR cost a=0.5,nested_dynamic_absolute_cost,0.5,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,30,24.2655640624,27.2701828207,27.2701828207,27.2048885258,0,1,1,1,1
random_hub_m8,hub_seed_09,9,Proposed dynamic CVaR regret a=0.5,nested_dynamic_hindsight_regret,0.5,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,27.2048885258,24.2655640624,27.2701828207,27.2701828207,27.2048885258,0,1,1,1,1
intel_map_scLTL,intel_nominal,0,Worst absolute cost,worst_absolute_mission_cost,,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,11,32,bl,25.8828191483,3.80188415147,6.36081125014,6.36081125014,5.7496931542,0.104916261333,0,1,1,1
intel_map_scLTL,intel_nominal,0,Minimax regret,worst_hindsight_regret,,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,11,32,bl,6.36081125014,3.80188415147,6.36081125014,6.36081125014,5.7496931542,0.104916261333,0,1,1,1
intel_map_scLTL,intel_nominal,0,Expected cost / regret,expected_absolute_cost_equiv_expected_regret,0,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,11,32,d0,25.4929304102,3.41199541333,6.78291306211,6.78291306211,5.66566451222,0.0208876193467,0,1,1,1
intel_map_scLTL,intel_nominal,0,Dynamic CVaR cost a=0.5,nested_dynamic_absolute_cost,0.5,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,11,32,bl,25.8828191483,3.80188415147,6.36081125014,6.36081125014,5.7496931542,0.104916261333,0,1,1,1
intel_map_scLTL,intel_nominal,0,Proposed dynamic CVaR regret a=0.5,nested_dynamic_hindsight_regret,0.5,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,11,32,d0,5.64477689287,3.77721735542,6.40656263043,6.40656263043,5.64477689287,0,1,1,1,1
