seed,m,worlds,H,planning_alpha,root_action,dynamic_objective,exact_mean_cost,exact_mean_regret,exact_var95_regret,exact_cvar95_regret,exact_worst_regret,exact_satisfaction_all_worlds
4,8,256,5,0.75,g,26.73203805632886,30.000000000000004,23.974544950281878,26.732038056328857,26.732038056328857,26.732038056328857,1
4,8,256,5,0.9,g,26.73203805632886,30.000000000000004,23.974544950281878,26.732038056328857,26.732038056328857,26.732038056328857,1
5,8,256,5,0.0,u0,12.215041790914476,18.81106931117219,12.215041790914483,29.506720446745874,29.506720446745874,29.506720446745874,1
5,8,256,5,0.25,u2,22.493938026357306,18.92219751512716,12.326169994869455,31.58061126971828,31.58061126971828,31.58061126971828,1
5,8,256,5,0.5,g,25.83824485556967,30.0,23.403972479742293,26.851116314257684,26.851116314257684,26.851116314257684,1
5,8,256,5,0.75,g,26.85111631425768,30.0,23.403972479742293,26.851116314257684,26.851116314257684,26.851116314257684,1
5,8,256,5,0.9,g,26.85111631425768,30.0,23.403972479742293,26.851116314257684,26.851116314257684,26.851116314257684,1
6,8,256,5,0.0,u0,11.459089457876502,17.37343265541332,11.4590894578765,29.394617504282827,29.394617504282827,29.394617504282827,1
6,8,256,5,0.25,u0,22.01765654843892,17.37343265541332,11.4590894578765,29.394617504282827,29.394617504282827,29.394617504282827,1
6,8,256,5,0.5,g,26.937690490367473,30.0,24.085656802463177,27.43585159279535,27.43585159279535,27.43585159279535,1
6,8,256,5,0.75,g,27.435851592795345,30.0,24.085656802463177,27.43585159279535,27.43585159279535,27.43585159279535,1
6,8,256,5,0.9,g,27.435851592795345,30.0,24.085656802463177,27.43585159279535,27.43585159279535,27.43585159279535,1
7,8,256,5,0.0,u0,13.38124155417205,19.18421706845759,13.381241554172048,31.96417354180231,31.96417354180231,31.96417354180231,1
7,8,256,5,0.25,u2,26.25521871973234,23.27624599505483,17.47327048076929,30.02077558512681,30.02077558512681,30.02077558512681,1
7,8,256,5,0.5,g,27.167178198415264,30.0,24.19702448571446,27.296760028055015,27.296760028055015,27.296760028055015,1
7,8,256,5,0.75,g,27.29676002805502,30.0,24.19702448571446,27.296760028055015,27.296760028055015,27.296760028055015,1
7,8,256,5,0.9,g,27.29676002805502,30.0,24.19702448571446,27.296760028055015,27.296760028055015,27.296760028055015,1
8,8,256,5,0.0,u1,11.189188733627091,16.91868687708237,11.18918873362709,31.00604214470363,31.00604214470363,31.00604214470363,1
8,8,256,5,0.25,u1,22.172481549115915,17.308598222070255,11.579100078614976,31.088246970675424,31.088246970675424,31.088246970675424,1
8,8,256,5,0.5,g,26.631020005826073,30.0,24.270501856544723,26.696987853119634,26.696987853119634,26.696987853119634,1
8,8,256,5,0.75,g,26.696987853119637,30.0,24.270501856544723,26.696987853119634,26.696987853119634,26.696987853119634,1
8,8,256,5,0.9,g,26.696987853119637,30.0,24.270501856544723,26.696987853119634,26.696987853119634,26.696987853119634,1
9,8,256,5,0.0,u1,12.7665580031939,18.500993940766904,12.766558003193893,31.542532380586877,31.542532380586877,31.542532380586877,1
9,8,256,5,0.25,u3,24.127902345303177,18.656291982450036,12.921856044877025,32.32239512758272,32.32239512758272,32.32239512758272,1
9,8,256,5,0.5,g,27.204888525757227,30.0,24.26556406242699,27.2701828207479,27.2701828207479,27.2701828207479,1
9,8,256,5,0.75,g,27.2701828207479,30.0,24.26556406242699,27.2701828207479,27.2701828207479,27.2701828207479,1
9,8,256,5,0.9,g,27.2701828207479,30.0,24.26556406242699,27.2701828207479,27.2701828207479,27.2701828207479,1
