seed,p_open,alpha,cost_root_action,regret_root_action,root_action_disagree,behavior_disagree,behavior_disagreement_world_fraction,behavior_disagreement_prior_mass,cost_mean_cost,cost_mean_regret,cost_cvar95_regret,cost_worst_regret,cost_worst_cost,regret_mean_cost,regret_mean_regret,regret_cvar95_regret,regret_worst_regret,regret_worst_cost,delta_mean_cost_regret_minus_cost,delta_mean_regret_regret_minus_cost,delta_cvar95_regret_regret_minus_cost,delta_worst_regret_regret_minus_cost,delta_worst_cost_regret_minus_cost
1,0.7,0.5,u1,u0,1,1,1.0,0.9999999999999997,7.473640841958919,3.6753557674238464,31.418614841392284,31.514435454248062,34.753504751720634,6.754474411727776,2.956189337192704,28.556563849065576,28.556563849065576,34.31185182791293,-0.7191664302311427,-0.7191664302311422,-2.862050992326708,-2.9578716051824863,-0.4416529238077018
1,0.7,0.75,g,g,0,0,0.0,0.0,30.0,26.201714925464927,26.76093070252743,26.76093070252743,30.0,30.0,26.201714925464927,26.76093070252743,26.76093070252743,30.0,0.0,0.0,0.0,0.0,0.0
1,0.7,0.9,g,g,0,0,0.0,0.0,30.0,26.201714925464927,26.76093070252743,26.76093070252743,30.0,30.0,26.201714925464927,26.76093070252743,26.76093070252743,30.0,0.0,0.0,0.0,0.0,0.0
1,0.9,0.25,u0,u0,0,0,0.0,0.0,3.8986757461804458,0.47060797003350563,6.479300303214069,28.556563849065576,34.31185182791293,3.8986757461804458,0.47060797003350563,6.479300303214069,28.556563849065576,34.31185182791293,0.0,0.0,0.0,0.0,0.0
1,0.9,0.5,u0,u0,0,0,0.0,0.0,3.8986757461804458,0.47060797003350563,6.479300303214069,28.556563849065576,34.31185182791293,3.8986757461804458,0.47060797003350563,6.479300303214069,28.556563849065576,34.31185182791293,0.0,0.0,0.0,0.0,0.0
1,0.9,0.75,u1,u1,0,0,0.0,0.0,4.919665026493404,1.4915972503464638,7.633272215454896,31.514435454248062,34.753504751720634,4.919665026493404,1.4915972503464638,7.633272215454896,31.514435454248062,34.753504751720634,0.0,0.0,0.0,0.0,0.0
1,0.9,0.9,u1,u1,0,0,0.0,0.0,4.919665026493404,1.4915972503464638,7.633272215454896,31.514435454248062,34.753504751720634,4.919665026493404,1.4915972503464638,7.633272215454896,31.514435454248062,34.753504751720634,0.0,0.0,0.0,0.0,0.0
2,0.1,0.25,g,u0,1,1,1.0,0.9999999999999997,30.0,14.62521944925049,26.90825519380082,26.90825519380082,30.0,26.604097595231412,11.229317044481904,29.714911790689694,30.19183260931564,34.79618833184897,-3.395902404768588,-3.395902404768586,2.8066565968888746,3.28357741551482,4.796188331848967
2,0.1,0.5,g,g,0,0,0.0,0.0,30.0,14.62521944925049,26.90825519380082,26.90825519380082,30.0,30.0,14.62521944925049,26.90825519380082,26.90825519380082,30.0,0.0,0.0,0.0,0.0,0.0
2,0.1,0.75,g,g,0,0,0.0,0.0,30.0,14.62521944925049,26.90825519380082,26.90825519380082,30.0,30.0,14.62521944925049,26.90825519380082,26.90825519380082,30.0,0.0,0.0,0.0,0.0,0.0
2,0.1,0.9,g,g,0,0,0.0,0.0,30.0,14.62521944925049,26.90825519380082,26.90825519380082,30.0,30.0,14.62521944925049,26.90825519380082,26.90825519380082,30.0,0.0,0.0,0.0,0.0,0.0
2,0.3,0.25,u1,u1,0,0,0.0,0.0,17.233523316281275,11.272391681199004,30.19183260931564,30.19183260931564,34.79618833184897,17.233523316281275,11.272391681199004,30.19183260931564,30.19183260931564,34.79618833184897,0.0,0.0,0.0,0.0,0.0
2,0.3,0.5,g,g,0,0,0.0,0.0,30.000000000000004,24.03886836491773,26.90825519380082,26.90825519380082,30.0,30.000000000000004,24.03886836491773,26.90825519380082,26.90825519380082,30.0,0.0,0.0,0.0,0.0,0.0
2,0.3,0.75,g,g,0,0,0.0,0.0,30.000000000000004,24.03886836491773,26.90825519380082,26.90825519380082,30.0,30.000000000000004,24.03886836491773,26.90825519380082,26.90825519380082,30.0,0.0,0.0,0.0,0.0,0.0
2,0.3,0.9,g,g,0,0,0.0,0.0,30.000000000000004,24.03886836491773,26.90825519380082,26.90825519380082,30.0,30.000000000000004,24.03886836491773,26.90825519380082,26.90825519380082,30.0,0.0,0.0,0.0,0.0,0.0
2,0.5,0.25,u1,u1,0,0,0.0,0.0,10.278406480235423,6.420312003002012,30.19183260931564,30.19183260931564,34.79618833184897,10.278406480235423,6.420312003002012,30.19183260931564,30.19183260931564,34.79618833184897,0.0,0.0,0.0,0.0,0.0
2,0.5,0.5,u1,u1,0,0,0.0,0.0,10.278406480235423,6.420312003002012,30.19183260931564,30.19183260931564,34.79618833184897,10.278406480235423,6.420312003002012,30.19183260931564,30.19183260931564,34.79618833184897,0.0,0.0,0.0,0.0,0.0
2,0.5,0.75,g,g,0,0,0.0,0.0,30.0,26.14190552276659,26.90825519380082,26.90825519380082,30.0,30.0,26.14190552276659,26.90825519380082,26.90825519380082,30.0,0.0,0.0,0.0,0.0,0.0
2,0.5,0.9,g,g,0,0,0.0,0.0,30.0,26.14190552276659,26.90825519380082,26.90825519380082,30.0,30.0,26.14190552276659,26.90825519380082,26.90825519380082,30.0,0.0,0.0,0.0,0.0,0.0
2,0.7,0.25,u1,u0,1,1,1.0,0.9999999999999997,5.6864270716629,2.401278621180881,29.81212500298596,30.19183260931564,34.79618833184897,5.680286142224682,2.3951376917426637,29.81212500298596,30.19183260931564,34.79618833184897,-0.006140929438217313,-0.006140929438217313,0.0,0.0,0.0
2,0.7,0.5,u1,u1,0,0,0.0,0.0,5.6864270716629,2.401278621180881,29.81212500298596,30.19183260931564,34.79618833184897,5.6864270716629,2.401278621180881,29.81212500298596,30.19183260931564,34.79618833184897,0.0,0.0,0.0,0.0,0.0
2,0.7,0.75,g,g,0,0,0.0,0.0,30.0,26.71485154951798,26.90825519380082,26.90825519380082,30.0,30.0,26.71485154951798,26.90825519380082,26.90825519380082,30.0,0.0,0.0,0.0,0.0,0.0
2,0.7,0.9,g,g,0,0,0.0,0.0,30.0,26.71485154951798,26.90825519380082,26.90825519380082,30.0,30.0,26.71485154951798,26.90825519380082,26.90825519380082,30.0,0.0,0.0,0.0,0.0,0.0
2,0.9,0.25,u0,u0,0,0,0.0,0.0,3.33075670883126,0.22475269455750876,4.2637095141050825,30.19183260931564,34.79618833184897,3.33075670883126,0.22475269455750876,4.2637095141050825,30.19183260931564,34.79618833184897,0.0,0.0,0.0,0.0,0.0
2,0.9,0.5,u0,u0,0,0,0.0,0.0,3.33075670883126,0.22475269455750876,4.2637095141050825,30.19183260931564,34.79618833184897,3.33075670883126,0.22475269455750876,4.2637095141050825,30.19183260931564,34.79618833184897,0.0,0.0,0.0,0.0,0.0
2,0.9,0.75,u0,u0,0,0,0.0,0.0,3.33075670883126,0.22475269455750876,4.2637095141050825,30.19183260931564,34.79618833184897,3.33075670883126,0.22475269455750876,4.2637095141050825,30.19183260931564,34.79618833184897,0.0,0.0,0.0,0.0,0.0
2,0.9,0.9,u1,u1,0,0,0.0,0.0,3.4575850905637,0.35158107628994884,3.825950570101111,30.19183260931564,34.79618833184897,3.4575850905637,0.35158107628994884,3.825950570101111,30.19183260931564,34.79618833184897,0.0,0.0,0.0,0.0,0.0
3,0.1,0.25,g,g,0,0,0.0,0.0,30.0,13.332980374780849,27.43286024486371,27.43286024486371,30.0,30.0,13.332980374780849,27.43286024486371,27.43286024486371,30.0,0.0,0.0,0.0,0.0,0.0
3,0.1,0.5,g,g,0,0,0.0,0.0,30.0,13.332980374780849,27.43286024486371,27.43286024486371,30.0,30.0,13.332980374780849,27.43286024486371,27.43286024486371,30.0,0.0,0.0,0.0,0.0,0.0
3,0.1,0.75,g,g,0,0,0.0,0.0,30.0,13.332980374780849,27.43286024486371,27.43286024486371,30.0,30.0,13.332980374780849,27.43286024486371,27.43286024486371,30.0,0.0,0.0,0.0,0.0,0.0
