family,seed,method,root_action,optimization_objective,mean_cost,mean_regret,cvar95_regret,worst_regret,worst_cost,satisfaction_all_worlds,worlds
random_hub_m8,2,Proposed dynamic CVaR regret a=0.5,g,26.86588512397077,30.0,24.211442111218552,26.90825519380082,26.90825519380082,30.0,1,256
random_hub_m8,3,Worst absolute cost,g,30.0,30.0,24.045765519806018,27.43286024486371,27.43286024486371,30.0,1,256
random_hub_m8,3,Minimax regret,g,27.43286024486371,30.0,24.045765519806018,27.43286024486371,27.43286024486371,30.0,1,256
random_hub_m8,3,Expected cost / regret,u1,19.34544917077912,19.34544917077912,13.391214690585137,32.39803925964792,32.39803925964792,34.96517901478421,1,256
random_hub_m8,3,Dynamic CVaR cost a=0.5,g,30.0,30.0,24.045765519806018,27.43286024486371,27.43286024486371,30.0,1,256
random_hub_m8,3,Proposed dynamic CVaR regret a=0.5,g,26.99034451884031,30.0,24.045765519806018,27.43286024486371,27.43286024486371,30.0,1,256
random_hub_m8,4,Worst absolute cost,g,30.0,30.000000000000004,23.974544950281878,26.732038056328857,26.732038056328857,30.0,1,256
random_hub_m8,4,Minimax regret,g,26.73203805632886,30.000000000000004,23.974544950281878,26.732038056328857,26.732038056328857,30.0,1,256
random_hub_m8,4,Expected cost / regret,u2,19.03078125589499,19.030781255894986,13.005326206176864,31.00295709178295,31.00295709178295,34.27091903545409,1,256
random_hub_m8,4,Dynamic CVaR cost a=0.5,g,30.0,30.000000000000004,23.974544950281878,26.732038056328857,26.732038056328857,30.0,1,256
random_hub_m8,4,Proposed dynamic CVaR regret a=0.5,g,26.683180030144037,30.000000000000004,23.974544950281878,26.732038056328857,26.732038056328857,30.0,1,256
random_hub_m8,5,Worst absolute cost,g,30.0,30.0,23.403972479742293,26.851116314257684,26.851116314257684,30.0,1,256
random_hub_m8,5,Minimax regret,g,26.85111631425768,30.0,23.403972479742293,26.851116314257684,26.851116314257684,30.0,1,256
random_hub_m8,5,Expected cost / regret,u0,18.811069311172194,18.81106931117219,12.215041790914483,29.506720446745874,29.506720446745874,35.463898044428994,1,256
random_hub_m8,5,Dynamic CVaR cost a=0.5,g,30.0,30.0,23.403972479742293,26.851116314257684,26.851116314257684,30.0,1,256
random_hub_m8,5,Proposed dynamic CVaR regret a=0.5,g,25.83824485556967,30.0,23.403972479742293,26.851116314257684,26.851116314257684,30.0,1,256
random_hub_m8,6,Worst absolute cost,g,30.0,30.0,24.085656802463177,27.43585159279535,27.43585159279535,30.0,1,256
random_hub_m8,6,Minimax regret,g,27.435851592795345,30.0,24.085656802463177,27.43585159279535,27.43585159279535,30.0,1,256
